no,kode,nama_bahan,url_detail,Jenis pangan,Kode Baru,Kode Lama,Kelompok,Nama Inggris,Abu (Ash),Air (Water),"Besi (Fe), Ferrum, Iron",β-Karoten (Carotenes),Energi (Energy),"Fosfor (P), Phosphorus","Kalium (K), Potassium","Kalsium (Ca), Calcium",Karbohidrat (CHO),Karoten total (Re),Lemak (Fat),"Natrium (Na), Sodium","Niasin, C6H5NO2, Niacin",Protein,"Retinol (vit A), C20H30O",Riboflavin (vitamin B2),"Seng (Zn), Zinc",Serat (Fiber),"Tembaga (Cu), Copper",Tiamina (vitamin B1),Vitamin C,Spesies,Genus,Familia
1,GP053,Abon haruwan,https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=GP053#AndraFarm,Olahan,GP053,-,Ikan dsb,Haruwan Floss (abon),6.4,11.6,0.5,,513.0,25.0,15.0,25.0,21.3,,37.0,61.0,,23.7,,,0.2,,,,,,,
2,GP054,Abon ikan,https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=GP054#AndraFarm,Olahan,GP054,-,Ikan dsb,Shredded fish,10.1,6.4,,,435.0,,,,36.1,,20.2,,24.3,27.2,,0.8,,,,,,Anabas testudineus,Anabas,Anabantidae
3,DR001,"Akar tonjong, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=DR001#AndraFarm,Tunggal,DR001,-,Sayur,"Tonjong root, fresh",1.0,86.7,1.3,83.0,45.0,125.0,1147.1,72.0,10.8,90.0,0.4,96.0,1.9,1.1,,0.03,0.2,1.2,0.02,0.02,2.0,Nelumbo micifera,Nelumbo,Nelumbonaceae
4,DR002,"Ale,toge, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=DR002#AndraFarm,Tunggal,DR002,-,Sayur,"Ale, bean sprouts, fresh",0.7,90.6,2.0,,37.0,248.0,105.0,50.0,3.8,35.0,0.5,2.0,0.6,4.4,,0.09,0.4,1.7,0.16,0.02,46.0,Acacia leucophloea (Roxb.) Willd.,,
5,ER001,"Alpukat, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=ER001#AndraFarm,Tunggal,ER001,-,Buah,"Avocado, fresh",0.6,84.3,0.9,189.0,85.0,20.0,278.0,10.0,7.7,180.0,6.5,2.0,1.0,0.9,,0.08,0.4,,0.2,0.05,13.0,Persea gratissima (Americana),Persea,Lauraceae
6,AP026,Amparan tatak,https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=AP026#AndraFarm,Olahan,AP026,-,Serealia,Tataran (Amparan tatak),0.8,58.4,,,191.0,,,,34.0,,5.5,,,1.3,,,,,,,,,,
7,CP015,Ampas kacang hijau,https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=CP015#AndraFarm,Olahan,CP015,-,Kacang,Green bean dregs,0.6,70.6,1.3,,96.0,150.0,,133.0,19.1,,0.6,,,3.7,,,,2.7,,0.05,,,,
8,CP017,Ampas tahu kukus,https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=CP017#AndraFarm,Olahan,CP017,-,Kacang,Steamed tofu pulp,0.6,82.5,1.3,,75.0,60.0,,203.0,10.7,,2.1,,,4.1,,,,5.1,,0.07,,,,
9,CP018,"Ampas tahu, kering",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=CP018#AndraFarm,Olahan,CP018,-,Kacang,"Tofu waste, dry",5.8,9.0,4.0,,414.0,29.0,1055.7,19.0,41.3,,18.3,45.0,0.5,26.6,,0.1,2.8,,0.99,0.2,,,,
10,CP016,"Ampas tahu, mentah",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=CP016#AndraFarm,Olahan,CP016,-,Kacang,"Tofu waste, raw",0.6,84.1,1.0,,67.0,88.0,184.5,460.0,8.1,,2.1,8.0,0.1,5.0,,0.02,0.5,4.1,0.17,0.06,,,,
11,FR001,"Anak sapi, daging, gemuk, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=FR001#AndraFarm,Tunggal,FR001,-,Daging,"Veal, meat, high fat, fresh",5.2,62.0,2.2,37.0,184.0,200.0,490.1,10.0,,,14.0,118.0,7.0,18.8,12.0,0.17,5.8,,0.17,0.13,,Bos javanicus,Bos,Bovidae
12,FR002,"Anak sapi, daging, kurus, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=FR002#AndraFarm,Tunggal,FR002,-,Daging,"Veal, meat, low fat, fresh",1.4,69.0,2.9,30.0,174.0,201.0,399.8,11.0,,,10.0,96.0,5.7,19.6,6.0,0.14,4.8,,0.14,0.08,,Bos javanicus,Bos,Bovidae
13,FR003,"Anak sapi, daging, sedang, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=FR003#AndraFarm,Tunggal,FR003,-,Daging,"Veal, meat, medium, fresh",0.9,68.0,2.9,83.0,190.0,193.0,412.7,11.0,,,12.0,99.0,5.9,19.1,12.0,0.15,4.9,,0.14,0.14,,Bos javanicus,Bos,Bovidae
14,DR003,"Andaliman, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=DR003#AndraFarm,Tunggal,DR003,-,Sayur,"Andaliman, fresh",2.2,74.2,2.9,,99.0,107.0,,383.0,18.0,6300.0,1.0,,,4.6,,,,8.5,,3.0,15.0,Zanthoxylum acanthopodium DC.,Zanthoxylum,Rutaceae
15,DR004,"Andewi, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=DR004#AndraFarm,Tunggal,DR004,-,Sayur,"Endive, fresh",1.1,91.8,1.0,1717.0,226.0,66.0,414.6,33.0,5.3,,0.2,29.0,0.5,1.6,,0.09,1.0,4.1,0.13,0.14,10.0,Cichorium endivia L,Cichorium,Compositae / Asteraceae
16,ER002,"Anggur hutan, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=ER002#AndraFarm,Tunggal,ER002,-,Buah,"Forest vine, fresh",0.2,92.3,1.1,,30.0,12.0,,39.0,6.8,1.0,0.2,,,0.5,,,,1.2,,0.01,3.0,,,
